Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Estimates Start After
Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",704.588,791.287,798.011,790.099,764.21,764.529,829.098,806.596,779.387,839.702,671.661,410.32,262.17,456.289,752.493,917.36,"1,009.967",717.381,818.32,"1,032.264","1,127.64","1,283.573","1,425.125","1,846.119","2,373.58","2,673.729","2,975.623","3,594.101","4,377.04","4,130.929","4,098.125","4,438.925","4,248.814","4,415.662","4,584.914","3,953.61","4,132.208","4,544.912","5,260.901",2011
Albania,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2017 Notes: CPI basket was expanded on December 2001, 2007, and again in 2015 Harmonized prices: No Frequency of source data: Monthly Base year: 2015 Primary domestic currency: Albanian lek Data last updated: 08/2018",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.391,3.385,4.594,14.976,27.706,33.958,36.605,41.266,54.953,66.298,66.556,66.582,68.66,72.231,73.938,76.058,77.855,79.7,82.059,84.775,86.667,89.8,92.892,94.783,96.608,98.167,100.042,101.317,103.33,105.7,2017
Albania,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.18,35.717,225.996,85.005,22.565,7.794,12.734,33.167,20.646,0.389,0.039,3.12,5.202,2.363,2.867,2.363,2.37,2.96,3.31,2.231,3.615,3.443,2.036,1.925,1.613,1.91,1.275,1.987,2.293,2017
Albania,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2016 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Albanian lek Data last updated: 08/2018",0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,-9.901,28.907,38.743,-3.432,23.272,11.868,8.409,10.704,8.434,4.98,19.576,10.804,-2.157,-8.027,3.212,-7.626,-8.653,5.558,-0.085,8.156,6.068,6.592,2016
Albania,Volume of exports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2016 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Albanian lek Data last updated: 08/2018",0,0,0,0,0,0,0,0,--,--,0,0,--,0,0,0,--,-19.051,24.363,88.951,16.254,23.9,3.878,9.51,20.63,6.026,12.566,17.332,15.023,0.865,10.629,1.7,-2.288,-9.93,3.238,5.005,10.283,10.205,4.628,2016
Albania,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2016 Employment type: National definition Primary domestic currency: Albanian lek Data last updated: 08/2018,5.028,4.224,2.813,3.335,4.41,5.853,5.43,5.164,6.033,6.721,8.457,8.9,26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.44,15.751,15,14.4,14.1,13.8,13.4,13.1,13.8,14,14,13.4,16,17.5,17.1,15.2,13.756,13.506,2016
Albania,Population,Persons,Millions,Source: National Statistics Office. INSTAT Latest actual data: 2011 Primary domestic currency: Albanian lek Data last updated: 08/2018,2.762,2.817,2.877,2.935,2.996,3.059,3.12,3.182,3.246,3.309,3.306,3.248,3.217,3.201,3.137,3.141,3.168,3.148,3.129,3.109,3.089,3.06,3.051,3.04,3.027,3.011,2.993,2.97,2.947,2.928,2.913,2.905,2.9,2.895,2.889,2.881,2.876,2.876,2.874,2011
Albania,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,72.194,71.184,68.183,63.769,60.613,64.097,60.245,57.474,58.203,56.688,53.55,55.14,59.666,57.72,59.413,62.144,70.391,71.992,73.716,73.187,71.782,71.046,2016
Algeria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-5.4,3,6.4,5.4,5.6,5.6,-0.2,-0.7,-1.9,4.8,0.8,-1.2,1.6,-2.102,-0.9,3.848,3.8,1.1,5.098,3.2,3.8,3,5.6,7.2,4.3,5.9,1.684,3.373,2.36,1.632,3.616,2.823,3.391,2.8,3.8,3.7,3.2,1.4,2.503,2017
Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",42.346,44.372,44.78,47.529,51.513,61.132,61.535,63.3,51.664,52.558,61.892,46.67,49.217,50.963,42.426,42.066,46.941,48.178,48.188,48.845,54.749,54.745,56.761,67.864,85.327,103.198,117.027,134.977,171.001,137.054,161.207,200.251,209.016,209.755,213.81,165.979,160.13,167.555,188.342,2017
Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,268.607","2,305.505","2,254.328","2,316.679","2,432.717","2,753.697","2,698.915","2,705.111","2,143.742","2,127.866","2,473.512","1,819.984","1,873.422","1,894.946","1,542.974","1,499.143","1,643.265","1,658.732","1,633.09","1,630.071","1,794.695","1,768.577","1,806.86","2,128.385","2,636.309","3,141.027","3,508.959","3,986.564","4,943.502","3,886.059","4,480.719","5,453.894","5,574.507","5,477.055","5,466.329","4,153.326","3,928.385","4,033.902","4,449.792",2017
Algeria,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2017 Harmonized prices: No Frequency of source data: Monthly Base year: 2001 Primary domestic currency: Algerian dinar Data last updated: 09/2018,8.975,10.286,10.964,11.823,12.569,13.88,15.824,16.751,17.746,19.373,21.17,26.652,35.101,42.297,54.563,70.823,84.067,88.859,93.258,95.682,95.969,100,101.43,105.75,109.95,111.47,114.05,118.24,123.98,131.1,136.23,142.36,155.053,160.1,164.77,172.653,183.699,193.97,206.578,2017
Algeria,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",9.668,14.61,6.593,7.835,6.31,10.432,14.007,5.857,5.938,9.172,9.272,25.9,31.7,20.5,29,29.8,18.7,5.7,4.95,2.6,0.3,4.2,1.43,4.259,3.972,1.382,2.315,3.674,4.855,5.743,3.913,4.5,8.916,3.255,2.917,4.784,6.398,5.591,6.5,2017
Algeria,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2017 Base year: 2005 Methodology used to derive volumes: Deflation by survey-based price indexes Chain-weighted: Yes, from 2005 Oil coverage: Hydrocarbons, related to the oil and gas sector Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Algerian dinar Data last updated: 09/2018",5.047,--,16.3,-1.7,6.2,5.7,-22,-28.7,3.4,16.8,-9,-17.9,4.6,-6.7,6.1,2,-13.3,2.4,6.5,1.8,7.6,11.2,23.2,-2.911,21.906,6.292,-8.77,14.785,34.873,12.357,-1.781,5.165,13.224,9.015,9.655,-7.624,-2.289,-2.597,-0.083,2017
Algeria,Volume of exports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2017 Base year: 2005 Methodology used to derive volumes: Deflation by survey-based price indexes Chain-weighted: Yes, from 2005 Oil coverage: Hydrocarbons, related to the oil and gas sector Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Algerian dinar Data last updated: 09/2018",-14.588,--,0.3,10.2,6.2,2.6,-0.3,6,0.4,8,3.4,0.575,5.989,2.135,-6.118,5.733,5.749,11.257,1.653,3.518,3.325,-1.696,5.798,6.754,2.729,4.954,-3.007,-1.882,-3.568,-8.443,-3.218,-4.822,-3.652,-6.394,0.311,5.733,9.612,-5.181,-6.902,2017
Algeria,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2017 Employment type: Harmonized ILO definition Primary domestic currency: Algerian dinar Data last updated: 09/2018,15.789,15.385,15,14.286,16.536,16.901,18.356,20.056,21.801,18.1,19.757,20.263,21.368,23.152,24.362,28.105,27.986,27.961,28.021,29.293,29.496,27.306,25.664,23.716,17.656,15.265,12.512,13.793,11.333,10.167,9.961,9.971,11,9.829,10.6,11.214,10.498,11.709,11.579,2017
Algeria,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2017 Primary domestic currency: Algerian dinar Data last updated: 09/2018,18.666,19.246,19.864,20.516,21.175,22.2,22.8,23.4,24.1,24.7,25.022,25.643,26.271,26.894,27.496,28.06,28.566,29.045,29.507,29.965,30.506,30.954,31.414,31.885,32.366,32.855,33.351,33.858,34.591,35.268,35.978,36.717,37.495,38.297,39.114,39.963,40.762,41.537,42.326,2017
Algeria,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,77.834,62.926,74.028,98.376,116.195,98.148,69.855,72.863,82.019,62.813,54.267,51.251,42.148,35.193,26.288,23.638,13.5,8.062,9.77,10.493,9.257,9.332,7.601,7.673,8.747,20.44,27.455,32.881,2017
Angola,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.406,-4.4,0,4.2,6,3.5,2.9,4.083,6.129,0.042,-3.45,0.991,-5.838,-23.983,1.339,15,13.544,7.274,4.691,2.181,3.055,4.206,13.666,2.99,10.953,15.029,11.548,14.01,11.166,0.859,4.859,3.472,8.542,4.955,4.823,0.944,-2.58,-2.5,-0.118,2015
Angola,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.258,6.793,6.793,7.079,7.504,9.245,8.656,9.894,10.733,12.485,13.743,13.321,10.271,7.455,5.428,6.774,7.994,9.388,7.958,7.526,11.166,10.93,15.286,17.813,23.552,36.971,52.381,65.266,88.539,70.307,83.799,111.79,128.053,136.71,145.712,116.194,101.124,126.506,114.504,2015
Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",814.575,742.315,723.183,734.426,758.449,829.231,754.806,841.298,888.559,"1,006.051","1,078.609","1,015.057",759.849,535.408,378.514,458.635,525.403,599.077,493.041,452.677,652.11,619.697,841.42,951.969,"1,222.038","1,862.424","2,561.859","3,099.087","4,081.688","3,146.802","3,641.444","4,716.253","5,245.023","5,436.516","5,625.736","4,354.921","3,676.826","4,465.734","3,924.347",2015
Angola,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2015 Notes: Historical consumer price index (CPI) and inflation are measured by Angola?s national CPI (IPCN) from January 2015 and by the Luanda province CPI up to December 2014. Harmonized prices: No Frequency of source data: Monthly Base year: 2010. Although the base year is reported as 2010, we are currently using December 2010 (=100) as the base month. Primary domestic currency: Angolan kwanza Data last updated: 08/2018",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.001,0.027,0.088,0.183,0.637,2.707,6.838,14.284,28.313,40.637,49.968,56.616,63.551,71.472,81.278,93.047,105.594,116.454,126.681,135.927,148.377,193.92,251.795,303.315,2015
Angola,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",46.708,1.391,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,85.265,299.097,"1,379.476",949.771,"2,672.23","4,146.01",221.492,107.429,248.248,325.029,152.586,108.893,98.219,43.525,22.961,13.305,12.249,12.465,13.721,14.48,13.484,10.285,8.782,7.298,9.159,30.694,29.844,20.461,2015
Angola,Volume of imports of goods and services,Percent change,,"Source: Central Bank. National Bank of Angola Latest actual data: 2016 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Other Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Angolan kwanza Data last updated: 08/2018",-39,17.3,1.7,-2.7,2.2,-9.4,-6.5,-1.5,26.9,-22,-15.8,-3.886,21.141,-19.125,-26.769,27.968,27.764,8.432,-5.44,26.806,3.965,13.854,-6.072,13.358,9.402,37.502,0.873,48.378,45.714,5.856,-21.279,10.299,8.38,9.235,11.442,-21.818,-25.274,0.322,21.672,2016
Angola,Volume of exports of goods and services,Percent change,,"Source: Central Bank. National Bank of Angola Latest actual data: 2016 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Other Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Angolan kwanza Data last updated: 08/2018",-3,8,-12.9,4.6,12.5,-5.9,-33.8,54.3,7,2.7,14.6,0.186,8.359,-8.275,8.236,12.24,10.698,6.02,2.536,1.426,1.624,-2.578,23.562,-1.931,13.537,28.148,14.255,17.501,10.105,-2.64,-3.266,-5.404,3.838,0.064,-2.115,6.721,-0.606,-4.759,1.331,2016
Angola,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2015 Primary domestic currency: Angolan kwanza Data last updated: 08/2018,8.91,9.151,9.393,9.639,9.894,11.149,11.467,11.76,12.079,12.41,12.742,13.124,13.518,13.923,14.341,14.771,15.214,15.671,16.141,16.625,17.124,17.637,18.166,18.711,19.273,19.851,20.446,21.06,21.692,22.342,23.013,23.703,24.414,25.147,25.901,26.681,27.503,28.328,29.178,2015
Angola,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,133.914,113.505,73.736,57.968,47.717,33.464,18.729,21.043,31.378,56.302,37.163,29.558,26.691,33.149,39.81,57.093,75.253,64.985,80.524,2016
Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.161,3.815,-0.084,5.364,10.165,7.644,11.494,6.626,5.213,5.252,3.012,2.177,1.158,5.28,6.676,-4.359,6.605,5.471,4.731,3.708,6.692,-4.979,1.031,6.069,5.746,6.406,12.736,9.264,-0.027,-12.11,-7.196,-2.087,3.495,-0.093,5.102,4.06,5.348,2.752,3.5,2016
Antigua and Barbuda,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.131,0.148,0.164,0.182,0.208,0.241,0.29,0.337,0.399,0.439,0.459,0.482,0.499,0.535,0.589,0.577,0.634,0.681,0.728,0.766,0.83,0.801,0.815,0.856,0.92,1.022,1.157,1.311,1.368,1.224,1.152,1.142,1.211,1.193,1.28,1.365,1.46,1.524,1.612,2016
Antigua and Barbuda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,920.27","2,177.102","2,448.568","2,752.963","3,200.967","3,764.001","4,617.601","5,455.277","6,547.27","7,273.222","7,623.412","7,927.571","8,084.421","8,474.018","9,097.242","8,675.225","9,266.488","9,678.3","10,074.768","10,349.505","10,981.376","10,414.643","10,482.368","10,893.152","11,582.523","12,738.001","14,264.568","15,996.056","16,514.078","14,616.947","13,613.471","13,346.768","14,006.82","13,646.308","14,488.092","15,282.667","16,175.594","16,702.484","17,476.74",2011
Antigua and Barbuda,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2016 Harmonized prices: No Frequency of source data: Monthly Base year: 2001. CPI Index = 100 in January 2001. Primary domestic currency: Eastern Caribbean dollar Data last updated: 08/2018,48.819,54.416,56.685,58.015,60.245,60.845,61.149,63.352,67.66,70.611,75.265,78.666,81.026,83.538,88.955,91.39,94.1,94.441,97.521,98.628,98.469,100.374,102.791,104.84,106.968,109.213,111.166,112.74,118.753,118.1,122.08,126.3,130.565,131.948,133.386,134.678,134.02,137.364,139.269,2016
Antigua and Barbuda,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",18.999,11.465,4.17,2.346,3.844,0.996,0.5,3.602,6.8,4.362,6.591,4.518,3,3.1,6.485,2.737,2.965,0.362,3.262,1.135,-0.162,1.935,2.408,1.994,2.03,2.099,1.788,1.416,5.334,-0.55,3.37,3.457,3.377,1.059,1.089,0.969,-0.489,2.495,1.387,2016
Antigua and Barbuda,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2016 Notes: On account of a methodological change to the compilation of balance of payments statistics, data for BOP series before 2014 have been removed. Base year: 2006 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products Primary domestic currency: Eastern Caribbean dollar Data last updated: 08/2018",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.923,10.674,5.224,5.017,2016
Antigua and Barbuda,Volume of exports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2016 Notes: On account of a methodological change to the compilation of balance of payments statistics, data for BOP series before 2014 have been removed. Base year: 2006 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products Primary domestic currency: Eastern Caribbean dollar Data last updated: 08/2018",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.185,-0.444,-2.822,0.118,2016
Antigua and Barbuda,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Population,Persons,Millions,"Source: International Financial Institution. Growth rates from WDI database, but values based on 2011 census Latest actual data: 2011 Primary domestic currency: Eastern Caribbean dollar Data last updated: 08/2018",0.068,0.068,0.067,0.066,0.065,0.064,0.063,0.062,0.061,0.06,0.06,0.061,0.062,0.063,0.065,0.067,0.068,0.07,0.072,0.074,0.076,0.077,0.078,0.079,0.079,0.08,0.081,0.082,0.083,0.084,0.085,0.086,0.086,0.087,0.088,0.089,0.09,0.091,0.092,2011
Antigua and Barbuda,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,98.071,99.075,95.479,90.147,89.655,98.323,91.673,87.022,102.609,104.603,104.653,117.914,126.264,125.187,120.147,92.684,89.151,77.864,76.081,100.967,89.448,91.449,86.666,94.869,102.092,98.224,86.215,86.823,88.213,2016
Argentina,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.7,-5.744,-3.149,3.733,2,-6.951,7.146,2.529,-1.957,-7.007,-1.338,10.498,10.299,6.251,5.836,-2.845,5.527,8.111,3.85,-3.385,-0.789,-4.409,-10.895,8.837,9.03,8.852,8.047,9.008,4.057,-5.919,10.125,6.004,-1.026,2.405,-2.513,2.731,-1.823,2.854,-2.645,2017
Argentina,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",226.569,184.014,91.376,112.721,126.563,95.593,114.949,117.854,138.044,88.567,153.205,205.515,247.987,256.365,279.15,280.08,295.12,317.549,324.242,307.673,308.491,291.738,108.731,138.151,164.922,199.273,232.892,287.921,363.545,334.633,424.728,527.644,579.666,611.471,563.614,642.464,554.107,637.557,475.429,2017
Argentina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,106.24","6,467.988","3,158.507","3,841.894","4,241.377","3,149.677","3,739.41","3,790.752","4,386.527","2,779.87","4,709.661","6,233.393","7,420.317","7,558.499","8,125.908","8,053.119","8,385.153","8,918.826","9,005.377","8,452.876","8,386.587","7,851.658","2,898.289","3,648.061","4,314.397","5,163.55","5,976.082","7,315.726","9,146.79","8,337.811","10,412.945","12,787.806","13,889.792","14,488.829","13,208.831","14,895.316","12,708.865","14,462.92","10,667.104",2016
Argentina,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2017 Notes: The consumer price data for Argentina before December 2013 reflect the consumer price index (CPI) for the Greater Buenos Aires Area (CPI-GBA), while from December 2013 to October 2015 the data reflect the national CPI (IPCNu). The new government that took office in December 2015 discontinued the IPCNu, stating that it was flawed, and released a new CPI for the Greater Buenos Aires Area on June 15, 2016 (a new national CPI index has been disseminated starting in June 2017). At its November 9, 2016, meeting, the IMF Executive Board considered the new CPI series to be in line with international standards and lifted the declaration of censure issued in 2013. Given the differences in geographical coverage, weights, sampling, and methodology of these series, the average CPI inflation for 2014, 2015, and 2016 and end-of-period inflation for 2015 and 2016 are not reported in the October 2017 World Economic Outlook. Harmonized prices: No Frequency of source data: Monthly Base year: 2013/14. The actual data are for calendar year the official index we are using for the WEO submission had the base year of Oct13-Sep14, hence the 2013/14 notation. Primary domestic currency: Argentine peso Data last updated: 09/2018",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,26.468,26.713,26.401,26.153,25.875,32.568,36.946,38.577,42.297,46.907,51.049,55.431,58.907,65.069,71.43,78.603,86.95,n/a,n/a,168.27,211.473,278.805,2017
